年月,外國專業投資機構上市,外國專業投資機構上櫃,外國專業投資機構全部,原一般境外僑外人及海外基金上市,原一般境外僑外人及海外基金上櫃,原一般境外僑外人及海外基金全部,外人直接投資上市,外人直接投資上櫃,外人直接投資全部,全體外資上市,全體外資上櫃,全體外資全部,公告日期
2000,6.710000,1.470000,6.100000,2.360000,0.740000,2.170000,7.240000,5.750000,7.070000,16.310000,7.950000,15.340000,20190410
2001,9.610000,1.870000,8.670000,2.820000,0.860000,2.580000,7.400000,6.170000,7.250000,19.830000,8.900000,18.510000,20190410
2002,7.560000,1.030000,6.990000,2.590000,1.210000,2.470000,6.140000,3.910000,5.940000,16.280000,6.150000,15.400000,20190410
2003,14.190000,3.960000,13.310000,1.050000,0.420000,1.000000,7.330000,5.210000,7.150000,22.570000,9.590000,21.460000,20190410
2004,15.830000,4.020000,14.950000,0.780000,0.640000,0.770000,6.580000,5.010000,6.460000,23.190000,9.670000,22.180000,20190410
2005,23.610000,8.410000,22.430000,0.740000,0.080000,0.690000,7.490000,2.880000,7.130000,31.840000,11.380000,30.250000,20190410
2006,26.410000,7.050000,24.680000,0.750000,0.050000,0.690000,6.830000,3.480000,6.530000,33.990000,10.580000,31.900000,20190410
2007,26.320000,7.760000,24.790000,1.110000,0.010000,1.020000,5.510000,2.810000,5.290000,32.940000,10.580000,31.100000,20190410
2008,23.940000,4.170000,22.710000,0.860000,0.010000,0.810000,5.600000,3.250000,5.460000,30.400000,7.430000,28.980000,20190410
2009,25.970000,6.050000,24.300000,0.890000,0.000000,0.810000,5.030000,4.060000,4.940000,31.890000,10.110000,30.050000,20190410
2010,26.940000,7.490000,25.440000,0.810000,0.000000,0.740000,5.110000,3.800000,5.010000,32.860000,11.300000,31.190000,20190410
2011,26.100000,8.930000,24.920000,0.760000,0.000000,0.710000,5.480000,5.410000,5.470000,32.340000,14.350000,31.100000,20190410
2012,27.430000,9.000000,26.030000,0.670000,0.000000,0.620000,5.920000,6.510000,5.970000,34.020000,15.510000,32.620000,20190410
2013,27.840000,9.880000,26.270000,0.820000,0.000000,0.750000,5.980000,7.570000,6.120000,34.630000,17.460000,33.140000,20190410
2014,30.940000,12.030000,29.210000,1.010000,0.000000,0.920000,6.340000,5.990000,6.300000,38.290000,18.020000,36.430000,20190410
2015,31.070000,14.040000,29.350000,0.900000,0.000000,0.810000,6.580000,6.060000,6.530000,38.550000,20.100000,36.690000,20190410
2016,32.630000,14.620000,30.990000,0.710000,0.000000,0.640000,6.600000,5.540000,6.500000,39.940000,20.160000,38.140000,20190410
2017,33.690000,17.360000,32.140000,0.660000,0.000000,0.600000,6.890000,5.240000,6.740000,41.250000,22.600000,39.480000,20190410
2018,32.400000,16.790000,31.030000,0.670000,0.000000,0.610000,6.900000,4.690000,6.700000,39.970000,21.480000,38.340000,20200117
